Sentence,Option 1,Option 2,Option 3,Option 4,Correct answer,Meaning 1,Meaning 2,Meaning 3,Meaning 4
あの選手は最後まで____粘りを見せた。,しぶとい ,だるい,でかい,たやすい,しぶとい ,stubborn; persistent,sluggish; weary; feeling heavy,huge; big (colloquial),easy; simple; effortless
話しかけたのに、彼は____返事をしただけだった。,そっけなく,ばかばかしく,すまなく,いやしく,そっけなく,bluntly; curtly; coldly,absurdly; ridiculously; foolishly,apologetically; feeling sorry,greedily; vulgarly; disgracefully
____記憶では、彼はその日に来なかったと思う。,あやふやな,あべこべな,だぶだぶな,ふわふわな,あやふやな,vague; ambiguous; uncertain,reversed; opposite,baggy; too loose,fluffy; soft; light
部屋の中は火のせいで____。,けむたかった,くもりだった,くもった,けむりだった,けむたかった,smoky; hard to breathe (due to smoke),was cloudy,was fogged up; became cloudy,was smoke
熱は下がったが、体がまだ____。,だるい,うつろだ,かすかだ,なさけない,だるい,sluggish; weary; feeling heavy,vacant; hollow; empty (expression),faint; dim; slight,pathetic; miserable; shameful
一緒に頑張ってくれる仲間がいるのは____。,こころづよい,きまりわるい,こころよい,たやすい,こころづよい,reassuring; encouraging; heartening,awkward; embarrassed; ashamed,pleasant; agreeable; willing,easy; simple; effortless
彼は少し転んだだけなのに、____に痛がっていた。,大げさ,大まか,長々,緩やか,大げさ,exaggerated; overblown,rough; broad,lengthy; long-winded,gentle; slow; loose; lenient
彼の服装は汚れていて、とても____。,みぐるしかった,はかなかった,みすぼらしかった,むさくるしかった,みぐるしかった,unsightly; disgraceful,fleeting; short-lived; vain,shabby; seedy; poorly dressed,untidy; messy; dirty-looking
このような対策が早急に取られるのが____。,のぞましい,ふさわしい,まちどおしい,めざましい,のぞましい,desirable; preferable,suitable; appropriate; fitting,eagerly awaited; long-awaited,remarkable; striking; noteworthy
困難に立ち向かう彼の姿はとても____。,たくましい,いやらしい,このましい,なれなれしい,たくましい,strong; robust; sturdy,indecent; unpleasant; lewd,likable; desirable,overly familiar; too friendly; intrusive
試合は予想に反して____終わってしまった。,あっけなく,そっけなく,はかなく,ものたりなく,あっけなく,disappointingly quickly; too soon; anticlimactically,curtly; coldly; bluntly,fleetingly; briefly; vainly,unsatisfyingly; feeling something is missing
客に対して____対応をするのはよくない。,ぞんざいに,おろかに,おろそかに,つきなみに,ぞんざいに,rudely; carelessly; disrespectfully,foolishly; stupidly,negligently; carelessly; inattentively,commonly; ordinarily; mediocrely
知り合いが誰もいない場所に行くのは____。,こころぼそい,うっとうしい,なさけない,ものたりない,こころぼそい,lonely; helpless; insecure,gloomy; annoying; bothersome,pathetic; shameful; miserable,unsatisfying; lacking something; not enough
彼は口が____ので、秘密を話しても安心だ。,かたい,おもい,きつい,つよい,かたい,tight-lipped; discreet,slow to speak; reserved,sharp-tongued; blunt,persuasive; influential in speech
書類の手続きが____と感じる人は多い。,わずらわしい,まちどおしい,みすぼらしい,みすぼらしい,わずらわしい,troublesome; annoying; bothersome,long-awaited; eagerly awaited,shabby; rundown; seedy,extreme; excessive; terrible
現場には____量の書類が散乱していた。,おびただしい,はなばなしい,やかましい,なやましい,おびただしい,vast; a great many; innumerable,glorious; splendid; spectacular,noisy; fussy; particular,seductive; troubling; distressing
彼女の____気遣いに心を打たれた。,こまやかで,きよらかで,しなやかで,さわやかで,こまやかで,detailed; thoughtful; tender,pure; clean; graceful,flexible; supple; graceful,refreshing; clear; pleasant
彼は____手口で金をもうけていた。,あくどい,けむたい,まぶしい,はかない,あくどい,vicious; gaudy; malicious,smoky; hard to breathe; awkward (figuratively),dazzling; glaring; radiant,fleeting; transient; short-lived
この役職には、彼が最も____人物だと思う。,ふさわしい,みぐるしい,めざましい,たくましい,ふさわしい,suitable; appropriate; fitting,unsightly; disgraceful; shameful,remarkable; striking; outstanding,strong; robust; resilient
彼の努力は報われず、すべてが____なった。,むなしく,とうとく,ひさしく,たやすく,むなしく,in vain; fruitlessly; without result,noble; precious; valuable,for a long time; long-standing,easily; readily; without difficulty
内容を____説明すると、次のようになります。,おおまかに,ぞんざいに,にわかに,おろそかに,おおまかに,roughly; broadly; generally,rudely; carelessly; disrespectfully,suddenly; abruptly,neglectfully; carelessly; inattentively
彼の発言には根拠が____。,とぼしい,いやしい,あさましい,たくましい,とぼしい,scarce; lacking; meager,greedy; vulgar; lowly,shameful; wretched; disgraceful,strong; robust; resilient
昔の写真を見ると、____気持ちになる。,せつない,そっけない,つれない,あっけない,せつない,painful; heartrending; bittersweet,curt; blunt; cold,indifferent; cold; unfeeling,anticlimactic; disappointing; too brief
会議は____な雰囲気の中で進められた。,なごやか,ゆるやか,おろそか,しなやか,なごやか,peaceful; friendly; mild,gentle; loose; gradual,negligent; careless; inattentive,supple; flexible; graceful
このガラスは見た目より____ので、注意してください。,もろい,しぶい,だるい,ゆるい,もろい,fragile; brittle; easily broken,astringent; subdued; refined (taste or style),sluggish; weary; listless,loose; lenient; slow
人間関係が____と感じることもある。,わずらわしい,まぎらわしい,なやましい,みずぼらしい,わずらわしい,troublesome; annoying; bothersome,misleading; confusing,distressing; seductive; troubling,shabby; seedy; dilapidated
